2018-10-16 16:10:06,664 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-10-16 16:10:06,666 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:10:06,667 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_web\src\test\resources
2018-10-16 16:12:27,751 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo:aicircle_web:0.0.1-SNAPSHOT @ E:\www\one\aicircle_web\pom.xml.
2018-10-16 16:12:28,025 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/dwf/com.daojia.dwf.mvc/0.2.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,054 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/watcher/com.daojia.spat.watcher.client/1.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,089 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/watcher/com.daojia.spat.watcher.utility/1.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,120 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/platform/com.daojia.platform.logcollector.client-frame/1.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,236 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dtracker/dtracker-api/1.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,300 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dao/1.0.7-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,329 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dtracker/dtracker-api/1.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,360 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/dwf/dwfapi-annotations/0.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,385 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/bst/hbase/com.daojia.bst.hbase.contract/0.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,407 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://42.159.90.94:8082/repository/maven-public/com/daojia/haobo/aicircle/com.daojia.haobo.aicircle.common.contract/0.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,461 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/haobo/aicircle/com.daojia.haobo.aicircle.common.contract/0.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,479 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/daojia.suyun.dao/2.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,515 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.protocol/2.0.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,537 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.serializer/2.0.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,562 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.client/2.0.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,587 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dtracker/dtracker-api/1.0.0-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,610 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dsfmngr/com.daojia.spat.dsfmngr.collector.client/1.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,632 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dsfmngr/com.daojia.spat.dsfmngr.collector.contract/1.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,657 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dos/dos-client/1.0.5-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,682 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.protocol/2.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,701 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.serializer/2.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,719 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/dos-ext-client/0.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,741 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.protocol/2.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,780 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.serializer/2.0.3-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,802 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dos/dos-client/1.0.6-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,821 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.djedis/2.0.0-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,852 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/platform/com.daojia.platform.logcollector.client-base/1.0.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:28,941 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.resume.contract:0.0.1-SNAPSHOT @ E:\www\one\aicircle_dsf_resume_contract\pom.xml.
2018-10-16 16:12:28,992 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo:com.daojia.haobo.web.creater:0.0.1-SNAPSHOT @ E:\www\one\aicircle_creater\pom.xml.
2018-10-16 16:12:29,158 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.daojia.haobo.aicircle:com.daojia.haobo.aicircle.resume.service:0.0.1-SNAPSHOT @ E:\www\one\aicircle_dsf_resume_service\pom.xml.
2018-10-16 16:12:29,200 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/bj58/spat/com.bj58.spat.utility/3.5.1-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:29,231 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/bj58/spat/esb_client/0.0.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:29,284 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dtracker/dtracker-client/1.0.0-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:29,308 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/dtracker/dtracker-common/1.0.0-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:29,333 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.dsf.server/2.0.4-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:29,395 [Worker-18] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://42.159.90.94:8082/repository/maven-public/com/daojia/spat/com.daojia.spat.utility/1.0.2-SNAPSHOT/maven-metadata.xml
2018-10-16 16:12:32,064 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,069 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-10-16 16:12:32,077 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,079 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_creater\src\test\resources
2018-10-16 16:12:32,377 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,378 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_contract\src\main\resources
2018-10-16 16:12:32,379 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,381 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_contract\src\test\resources
2018-10-16 16:12:32,720 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,721 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_service\src\main\resources
2018-10-16 16:12:32,723 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-16 16:12:32,724 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\www\one\aicircle_dsf_resume_service\src\test\resources
